sentiment,text
5,Except trains are very capital intensive and have limited mobility. Driverless cars are the best of both worlds
5,I want a Google driverless car.
5,driverless  ? Ooooh that would be awesome!!
5,SO MUCH AWESOME! Amazing video for Googles Next Phase in Driverless Cars via  
5,is making driverless cars which is awesome 
5,"You could call a driverless car and tell the car , it will take you there.  Whoo Hoo"
5," Google's driverless cars, I'll take one!!!  by  "
5,Driverless taxis in NYC would probably be an amazing application.  
5,This whole  driverless car prototype thing is awesome.  
5,Google's New Driverless Car Has No Brake Pedal Or Steering Wheel  via ...  this is fantastic.
5,"Riding in a driverless car is on my bucket list, this is so damn exciting. Google "
5,This is the future and it is now!! OH the places we will go!!  Can't wait for the driverless car. scichat
5,The driverless car is a great idea for someone like me who has an eye condition that makes me unable to drive a car.
5,This is why we need driverless cars. 
5,Google developed a driverless car. Now that's fucking chill.
5,"Can't wait for  driverless cars. Soon, we'll rarely drive and so many lives will be saved"
5,They're coming out with driverless cars.... I'm in
5,I want a driverless car so bad.
5,Driverless cars could also end drunk driving forever and save lives.   
5,"SKYNET  I am for driverless cars. Sick of the accidents, injuries, deaths, people driving recklessly all the time. It must stop."
5,"Driverless cars will eliminate 80% of traffic in crowded cities, says MIT "
5,Less ROAD RAGE RT  The potential benefits of driverless cars are stunning 
5, The MercedesBenz driverless research car looks amazing.  satamadik halaa 
5,"At a session, Watching and listening to head of googles driverless car program. Absolutely Fascinating!!"
5,"Driverless Cars Sound Awesome, But The Actual Economic Impact Is Going To Blow Your Mind.   "
5,"Can't wait for driverless cars to come out! This is the first time I'm excited about motor vehicles, in my entire life."
5,I love these times from age of horse less to driver less travel MT  Google To Build Its Own Driver less Cars 
5,13 hour drive ahead of me...  driverless cars can't get here fast enough
5,Driverless cars...just think of the potential productivity andamp safety gains.  via 
5,Poll Drivers love idea of driverless cars    driverless selfdrivingcars autonomouscar cars
5,Google Survey just asked if I'd use a driverless car. I only wished they had an Hell Yes as a radio selection. cantWait takeMyMoney
5,So excited for the Google Glass and Driverless car demo just in a couple of minutes! yglsvs
5,Driverless car appeals to me instead of the real estate chauffeur one can become  
5,"Imagine a world with virtually no DUIs or massive traffic jams, and increased productivity  wealth. Driverless cars will be big for us."
5,was awesome last night . Seeing Google's driverless car at Stanford tonight. Is this heaven?
5,Burkhard Bilger Inside Googles Driverless Car   man I want a self driving car so badly!!
5,"Yes, my 11 yo daughter says she can't wait to have her own driverless car."
5,Driverless cars! Love how Google takes on big challenges AND shares insights with students  
5,Total believe it  Google's Driverless Car Is Now Safer Than the Average Driver  
5,"I, for one, am very excited about selfdriving cars.  Google's Driverless Car is Safer than the Average Driver "
5,What a fun and exciting mental exercise to play thinking about the future of driverless cars   killerapp
5,I would like to go for a drive with these guys. Driverless cars will be the safest cars ever cas13 
5,Driverless shared cars will be much less expensive and much safer. Will obey rules. Can't wait! 1020 years?
5,A driverless car?? I need to get me one of these 
5,Volvos New SUV Will Be SuperSafe Because Its SemiAutonomous. Driverless controls by 2020.  Autopia  WIRED 
5,"My first ever tweet while cruising in a driverless car. Mindboggling, sensorial experience. Thx Google. whoahorsey "
5,Amazon Prime Air almost as incredible as Google's driverless car 
5,Jealous!  own  gets to ride in   driverless car!!  Still ready here to beta one! 
5,The age of driverless cars cannot come soon enough. 
5,Wow!  Driverless vehicles? Even in the streets of D.C.? 
5,Selfdriving cars? Sounds good to me!   Headline  California okays driverless cars 
5," With a Push From Google, California Legalizes Driverless Cars Yeah baby! Seen cars like this hereandampthere."
