sentiment,text
1,car wars action sci fi drew goddard 'in the future driverless cars become sentient and turn on the human race'. blackoutlist
1,good. i still won't even do self check out driverless cars are further away than you think
1,watched the video now that i'm home from work. wtf. i thought we were getting a driverless car not some orwellian big brother shit.
1,so google has a driver less car? they can take the steering wheel away from my cold dead hands before i buy one.
1,aren't they already? fbi warns driverless cars could be used as 'lethal weapons'
1,google developing a driverless car??? da facckk?!
1,driverless cars ? what's the point ?
1,driverless cars now street legal in california ... a good reason to leave ca... no one is behind the wheel
1,they're on about driverless automated cars why waste the money? get a fucking taxi
1,google driver less car is not viable insurance companies would have no part of it.
1,also cars with drivers fbi warns driverless cars could be used as 'lethal weapons'
1,thanks for share. driverless cars won't make us thinner healthier happier driverless cars and sprawl
1,the driverless cars take us to the wrong spot. says damn robots. i agree. we board a bus. delucchidoesgoogle
1,being systematically run over by driverless cars.
1,driverless cars are terrible. how can anyone be a fan of them. i mean c'mon!!!
1,oh hell no i know enough about computers to not trust a driverless car
1,driverless cars?!! wth!i honestly don't think that's a good idea..
1,durham driverless car causes crash in nc two people injured dur
2,i am the google driverless car today i keep not going where i intend to go.
2,what could possible go wrong? california governor brown signs bill clearing use of driverless cars on public roads
2,the driverless car revolution should not begin with cars via
2,cannot jus trust the emergency brake got block those wheels or a driverless truck barrels into
2,ok can we talk about how the us doesn't wanna approve google's driverless cars because of speeding ticket profits
2,one driver less car works more than one not going to happen.
2,google's driverless car will need more testing watchdog group warns
2,could technology lead to unemployment? it's no secret that smart machines think google's driverless cars ...
2,beats driverless cars. rt google said to deploy wi fi blimps in africa and asia. goog
2,detroit unhappy with google's push for driverless cars tech cars
2,driver less cars using google maps what could go wrong?
2,driverless cars wtf!?!?
2,must develop policies now to prevent this. toyota official driverless cars could encourage sprawl
2,they want us to believe a self driving car malfunctioned but this is a google street view car not a driverless car.
2,when driverless cars crash who s to blame? via anonymous
2,driverless cars great but they aren't sustainable without an honest energy policy. per capita energy use defines the future.
2,not only are there legal regulatory concerns with driverless cars there s a matter of societal trust. goodpoint cas
2,my feeling is that driverless cars are an inferior solution to other already existing tech
2,this story is everything... rudderless congress breaks driverless car via
2,business insider the fbi is afraid criminals will use google's driverless cars for freeway shootouts goog
2,hooli did it first. google's newest driverless car has no wheel or pedal and buttons start and panic
2,seems like driverless cars are a scam to put into google andamp software giants instead of infrastructure for all trains .
2,we already have driverless cars they're called fucking public transportation.
2,the fbi is worried driverless cars will be used as bombs looks like driverless cars are now dead.
2,driverless cars ? i think i'm about done with the world! i can't deal. google is coming out with everything
2,rt why driverless cars won't save the environment by
2,fbi driverless cars could make criminals more dangerous. also criminals are more dangerous in cars than on horses!
2,driverless cars are now apparently an election worthy issue? seriously florida?
2,that's true but i think many claims about impact of driverless cars rely a bit on assumptions of random usage rather than peaks
2,driverless cars and iphones are more important than securing the ocean as a water supply desalination
2,safety a concern for driverless cars
2,driverless cars by . yeah...like they're gonna let all that dui money just cruise off into the skynet sunset. policestate
2,the driverless cars took is to the wrong spot. says damn robots. i agree. we board a bus. delucchidoesgoogle
2,driverless cars could increase pollution warns
2,we don't need driverless cars to decrease our dependence on fossil fuels no connection
2,california where drugs and driverless cars are legal!
2,until you try to put driverless trucks on highway in a snow storm. then that idea kind of goes to hell.
