sentiment,text
1,driverless truck?! perfect 'car bomb . i'll take aipc rats nest in hymie town andamp dc.
1,car wars action sci fi drew goddard 'in the future driverless cars become sentient and turn on the human race'. blackoutlist
1,i'd never trust a self driving car to take my kid to school.
1,being systematically run over by driverless cars.
1,the driverless cars take us to the wrong spot. says damn robots. i agree. we board a bus. delucchidoesgoogle
1,mt exactly! scaretactic st child hit by driverless car? how about fewer children hit by drivers today? riseofthemachines
1,driverless cars ? what's the point ?
1,i think i just saw a google self driving car lexus rx in an accident on san antonio on ramp to . a car was overturned.
1,if you think people dislike google buses and google glasses just wait till a google self driving car causes children to die in a crash.
1,no. i like driving. i don't want a self driving car.
1,saying it now. i would never get a self driving car for the same reason id never eat that soylent crap. food is good. driving is fun.
1,how ubers autonomous cars will destroy million jobs and reshape the economy by cbs sf
1,googles self driving car nah bruh my car catch a proxy virus and i crash and burn nah i'm good i'll risk driving with a stering wheel
1,durham driverless car causes crash in nc two people injured dur
1,the real reason google's self driving car doesn't have controls please give up on this idea!
1,how the fuck is watching a video on a driverless car going to make me a better driver?
1,aren't they already? fbi warns driverless cars could be used as 'lethal weapons'
1,so google has a driver less car? they can take the steering wheel away from my cold dead hands before i buy one.
1,driverless car slams into az home inches from sleeping kids according to a police report a truck smashed into a...
1,good. i still won't even do self check out driverless cars are further away than you think
1,who the hell would want a driverless car. i love to drive i would.
1,yes i just meant in the sense that people on it aren't driving. we don't need f'n driverless passenger cars.
1,thanks for share. driverless cars won't make us thinner healthier happier driverless cars and sprawl
1,thanks for share. driverless cars won't make us thinner healthier happier driverless cars and sprawl
1,driverless cars are not worth the risk. don't want to be on the highway when the server crashes sadmacface bluescreenofdeath
1,aren't they already? fbi warns driverless cars could be used as 'lethal weapons'
1,google's new self driving car pod doesn't have a steering wheel no thanks so lame
1,how ubers autonomous cars will destroy million jobs and reshape the economy by
1,fucking google car in hiawatha!
1,they're on about driverless automated cars why waste the money? get a fucking taxi
1,that self driving car is terrifying especially if it runs linux.
1,volvo wants to have self driving cars on the road by this will never be a good idea..
1,watched the video now that i'm home from work. wtf. i thought we were getting a driverless car not some orwellian big brother shit.
1,sadie hates the google car.
1,you'll never get me in an autonomous vehicle. ever. never. nope
1,being systematically run over by driverless cars.
1,google car just drove by.... hopefully they got me flipping them off!
1,what the fuck is the point of a driverless car
1,driverless cars medical chips scan and buy through your phone. i need to get the fuck out of this country.
1,are self driving cars the apocalypse road testament
1,self driving cars approved in california scary!
1,the google car must be stopped.
1,i like to piss ppl off by comparing things like google car to robber barons throwing silver dollars from their office windows
1,self driving cars microchipped house to open doors for you microchipped shirts to keep you cool? are you kidding ? this is bullshit.
1,i totally hate the idea of not driving my own car. automatics bad enough. now autonomous?
1,i can't see how automous cars won't cause a million wrecks
